mean_ndvi,ndvi_trend,ndvi_variance,avg_temperature_c,total_rainfall_mm,crop_health_label
0.82,0.03,0.0,16.5,150.0,HEALTHY
0.68,-0.0055,0.0245,32.5,48.0,MODERATE_STRESS
0.53,-0.0188,0.0242,32.6,29.1,HIGH_STRESS
0.68,0.005,0.0,27.4,150.0,HEALTHY
0.59,-0.011,0.03,32.6,23.5,MODERATE_STRESS
0.43,-0.0275,0.0275,33.2,28.5,HIGH_STRESS
0.56,-0.0035,0.024,31.0,79.7,HEALTHY
0.56,-0.0245,0.0145,33.0,42.3,MODERATE_STRESS
0.39,-0.0372,0.035,34.5,21.6,HIGH_STRESS
0.69,0.009,0.0,25.9,149.5,HEALTHY
0.61,-0.0088,0.0285,32.2,29.4,MODERATE_STRESS
0.46,-0.0238,0.0245,33.1,26.9,HIGH_STRESS
0.58,-0.0022,0.0095,30.7,118.9,HEALTHY
0.55,-0.0262,0.014,33.2,39.9,MODERATE_STRESS
0.37,-0.0395,0.0345,34.8,19.8,HIGH_STRESS
0.72,0.0185,0.0,22.5,150.0,HEALTHY
0.62,-0.005,0.026,31.5,45.4,MODERATE_STRESS
0.49,-0.031,0.024,32.5,24.1,HIGH_STRESS
0.62,-0.001,0.0032,30.0,145.3,HEALTHY
0.58,-0.015,0.012,32.3,47.0,MODERATE_STRESS
0.41,-0.0325,0.031,33.9,24.3,HIGH_STRESS
0.54,-0.0032,0.008,30.2,141.8,HEALTHY
0.54,-0.0295,0.016,33.5,36.2,MODERATE_STRESS
0.35,-0.0412,0.0355,35.0,16.1,HIGH_STRESS
0.83,0.03,0.0,16.0,150.0,HEALTHY
0.69,-0.0065,0.0255,33.0,49.5,MODERATE_STRESS
0.54,-0.0178,0.0228,32.9,30.5,HIGH_STRESS
0.67,0.0035,0.0,28.0,150.0,HEALTHY
0.6,-0.0118,0.031,33.1,22.0,MODERATE_STRESS
0.44,-0.0265,0.026,33.4,29.8,HIGH_STRESS
0.55,-0.0042,0.025,31.5,83.0,HEALTHY
0.57,-0.0258,0.0135,33.4,43.6,MODERATE_STRESS
0.4,-0.0362,0.0335,34.7,22.8,HIGH_STRESS
0.68,0.0075,0.0,26.5,150.0,HEALTHY
0.62,-0.0095,0.0295,32.7,28.1,MODERATE_STRESS
0.47,-0.0228,0.023,33.4,28.2,HIGH_STRESS
0.57,-0.0028,0.0082,31.2,125.4,HEALTHY
0.56,-0.0275,0.0125,33.6,41.2,MODERATE_STRESS
0.38,-0.0385,0.033,35.0,21.0,HIGH_STRESS
0.71,0.017,0.0,23.2,150.0,HEALTHY
0.63,-0.006,0.027,32.0,47.0,MODERATE_STRESS
0.5,-0.032,0.0225,32.8,25.4,HIGH_STRESS
0.61,-0.0015,0.0018,30.5,150.0,HEALTHY
0.59,-0.0162,0.0105,32.7,48.4,MODERATE_STRESS
0.42,-0.0315,0.0295,34.1,25.6,HIGH_STRESS
0.53,-0.0038,0.0068,30.7,148.2,HEALTHY
0.55,-0.0305,0.015,34.0,37.5,MODERATE_STRESS
0.36,-0.0408,0.034,35.0,17.4,HIGH_STRESS
0.84,0.03,0.0,15.5,150.0,HEALTHY
0.7,-0.0075,0.0265,33.5,51.0,MODERATE_STRESS
0.55,-0.0168,0.0215,33.2,31.9,HIGH_STRESS
0.66,0.002,0.0,28.6,150.0,HEALTHY
0.61,-0.0125,0.032,33.6,20.5,MODERATE_STRESS
0.45,-0.0255,0.0245,33.6,31.1,HIGH_STRESS
0.54,-0.005,0.026,32.0,86.3,HEALTHY
0.58,-0.027,0.0125,33.8,44.9,MODERATE_STRESS
0.41,-0.035,0.032,35.0,24.0,HIGH_STRESS
0.67,0.006,0.0,27.1,150.0,HEALTHY
0.63,-0.0102,0.0305,33.2,26.8,MODERATE_STRESS
0.48,-0.0218,0.0215,33.7,29.5,HIGH_STRESS
0.56,-0.0035,0.007,31.7,131.9,HEALTHY
0.57,-0.0285,0.0115,34.0,42.5,MODERATE_STRESS
0.39,-0.0378,0.0315,35.0,22.2,HIGH_STRESS
0.7,0.0155,0.0,23.9,150.0,HEALTHY
0.64,-0.007,0.028,32.5,48.6,MODERATE_STRESS
0.51,-0.033,0.021,33.1,26.7,HIGH_STRESS
0.6,-0.002,0.0,31.0,150.0,HEALTHY
0.6,-0.0175,0.0095,33.1,49.8,MODERATE_STRESS
0.43,-0.0305,0.028,34.3,26.9,HIGH_STRESS
0.52,-0.0045,0.0055,31.2,150.0,HEALTHY
0.56,-0.0315,0.014,34.5,38.8,MODERATE_STRESS
0.37,-0.0398,0.0325,35.0,18.7,HIGH_STRESS
0.85,0.03,0.0,15.0,150.0,HEALTHY
0.71,-0.0085,0.0275,34.0,52.5,MODERATE_STRESS
0.56,-0.0158,0.0202,33.5,33.3,HIGH_STRESS
0.65,0.001,0.0,29.2,150.0,HEALTHY
0.62,-0.0132,0.033,34.1,19.0,MODERATE_STRESS
0.46,-0.0245,0.023,34.0,32.4,HIGH_STRESS
0.53,-0.0058,0.027,32.5,89.6,HEALTHY
0.59,-0.0282,0.011,34.2,46.2,MODERATE_STRESS
0.42,-0.0338,0.0305,35.0,25.2,HIGH_STRESS
0.66,0.0045,0.0,27.7,150.0,HEALTHY
0.64,-0.0108,0.0315,33.7,25.5,MODERATE_STRESS
0.49,-0.0208,0.02,34.0,30.8,HIGH_STRESS
0.55,-0.0042,0.0058,32.2,138.4,HEALTHY
0.58,-0.0295,0.0105,34.4,43.8,MODERATE_STRESS
0.4,-0.0365,0.030,35.0,23.4,HIGH_STRESS
0.69,0.014,0.0,24.6,150.0,HEALTHY
0.65,-0.008,0.029,33.0,50.2,MODERATE_STRESS
0.52,-0.034,0.0195,33.4,28.0,HIGH_STRESS
0.59,-0.0025,0.0,31.5,150.0,HEALTHY
0.61,-0.0188,0.0085,33.5,51.2,MODERATE_STRESS
0.44,-0.0295,0.0265,34.5,28.2,HIGH_STRESS
0.51,-0.0052,0.0042,31.7,150.0,HEALTHY
0.57,-0.0325,0.013,34.9,40.1,MODERATE_STRESS
0.38,-0.0388,0.031,35.0,20.1,HIGH_STRESS
0.72,-0.0095,0.0285,34.5,54.0,MODERATE_STRESS
0.57,-0.0148,0.019,33.8,34.7,HIGH_STRESS
0.64,0.0,0.0,29.8,150.0,HEALTHY
0.63,-0.014,0.034,34.6,17.5,MODERATE_STRESS
0.47,-0.0235,0.0215,34.3,33.7,HIGH_STRESS
0.52,-0.0065,0.028,33.0,92.9,HEALTHY
0.6,-0.0295,0.0095,34.6,47.5,MODERATE_STRESS
0.43,-0.0325,0.029,35.0,26.4,HIGH_STRESS
0.65,0.003,0.0,28.3,150.0,HEALTHY
0.65,-0.0115,0.0325,34.2,24.2,MODERATE_STRESS
0.5,-0.0198,0.0185,34.3,32.1,HIGH_STRESS
0.54,-0.0048,0.0045,32.7,144.9,HEALTHY
0.59,-0.0305,0.009,34.8,45.1,MODERATE_STRESS
0.41,-0.0355,0.0285,35.0,24.8,HIGH_STRESS
0.68,0.0125,0.0,25.3,150.0,HEALTHY
0.66,-0.009,0.03,33.5,51.8,MODERATE_STRESS
0.53,-0.035,0.018,33.7,29.3,HIGH_STRESS
0.58,-0.003,0.0,32.0,150.0,HEALTHY
0.62,-0.02,0.0075,33.9,52.6,MODERATE_STRESS
0.45,-0.0285,0.025,34.7,29.5,HIGH_STRESS
0.5,-0.0058,0.0028,32.2,150.0,HEALTHY
0.58,-0.0335,0.012,35.0,41.4,MODERATE_STRESS
0.39,-0.037,0.0295,35.0,21.5,HIGH_STRESS
0.73,-0.0105,0.0295,35.0,55.5,MODERATE_STRESS
0.58,-0.0138,0.0178,34.1,36.1,HIGH_STRESS
0.63,-0.001,0.0,30.4,150.0,HEALTHY
0.64,-0.0148,0.035,35.0,16.0,MODERATE_STRESS
0.48,-0.0225,0.02,34.6,34.9,HIGH_STRESS
0.51,-0.0072,0.029,33.5,96.2,HEALTHY
0.61,-0.0308,0.0085,35.0,48.8,MODERATE_STRESS
0.44,-0.0315,0.0275,35.0,27.6,HIGH_STRESS
0.64,0.0015,0.0,28.9,150.0,HEALTHY
0.66,-0.0122,0.0335,34.7,22.9,MODERATE_STRESS
0.51,-0.0188,0.017,34.6,33.4,HIGH_STRESS
0.53,-0.005,0.0032,33.2,150.0,HEALTHY
0.6,-0.0315,0.008,35.0,46.4,MODERATE_STRESS
0.42,-0.0345,0.027,35.0,25.6,HIGH_STRESS
0.67,0.011,0.0,25.9,150.0,HEALTHY
0.67,-0.01,0.031,34.0,53.4,MODERATE_STRESS
0.54,-0.036,0.0165,34.0,30.6,HIGH_STRESS
0.57,-0.0035,0.0,32.5,150.0,HEALTHY
0.63,-0.0212,0.0065,34.3,54.0,MODERATE_STRESS
0.46,-0.0275,0.0235,34.9,30.8,HIGH_STRESS
0.49,-0.0062,0.0015,32.7,150.0,HEALTHY
0.59,-0.0345,0.011,35.0,42.7,MODERATE_STRESS
0.4,-0.0352,0.028,35.0,22.9,HIGH_STRESS
0.74,-0.0115,0.0305,35.0,57.0,MODERATE_STRESS
0.59,-0.0128,0.0165,34.4,37.5,HIGH_STRESS
0.62,-0.0015,0.0,30.9,150.0,HEALTHY
0.65,-0.0155,0.036,35.0,14.5,MODERATE_STRESS
0.49,-0.0215,0.0185,34.9,36.1,HIGH_STRESS
0.5,-0.008,0.03,34.0,99.5,HEALTHY
0.62,-0.032,0.0075,35.0,50.1,MODERATE_STRESS
0.45,-0.0305,0.026,35.0,28.8,HIGH_STRESS
0.63,0.0005,0.0,29.4,150.0,HEALTHY
0.67,-0.0128,0.0345,35.0,21.6,MODERATE_STRESS
0.52,-0.0178,0.0155,34.9,34.7,HIGH_STRESS
0.52,-0.0052,0.0018,33.7,150.0,HEALTHY
0.61,-0.0325,0.007,35.0,47.7,MODERATE_STRESS
0.43,-0.0335,0.0255,35.0,26.8,HIGH_STRESS
0.66,0.0095,0.0,26.5,150.0,HEALTHY
0.68,-0.011,0.032,34.5,55.0,MODERATE_STRESS
0.55,-0.037,0.015,34.3,31.9,HIGH_STRESS
0.56,-0.004,0.0,33.0,150.0,HEALTHY
0.64,-0.0225,0.0055,34.7,55.4,MODERATE_STRESS
0.47,-0.0265,0.022,35.0,32.1,HIGH_STRESS
0.48,-0.0068,0.0,33.2,150.0,HEALTHY
0.6,-0.0355,0.01,35.0,44.0,MODERATE_STRESS
0.41,-0.034,0.0265,35.0,24.1,HIGH_STRESS
